model,interval_start_datetime,predicted_call_volume
gradient_boosting,2026-01-11T04:00:00,79.4274
gradient_boosting,2026-01-11T04:30:00,79.4274
gradient_boosting,2026-01-11T05:00:00,74.3610
gradient_boosting,2026-01-11T05:30:00,78.7654
gradient_boosting,2026-01-11T06:00:00,90.8173
gradient_boosting,2026-01-11T06:30:00,118.7382
gradient_boosting,2026-01-11T07:00:00,183.2854
gradient_boosting,2026-01-11T07:30:00,206.7677
gradient_boosting,2026-01-11T08:00:00,216.9137
gradient_boosting,2026-01-11T08:30:00,240.3958
gradient_boosting,2026-01-11T09:00:00,258.9720
gradient_boosting,2026-01-11T09:30:00,268.2132
gradient_boosting,2026-01-11T10:00:00,258.7389
gradient_boosting,2026-01-11T10:30:00,268.2132
gradient_boosting,2026-01-11T11:00:00,262.9111
gradient_boosting,2026-01-11T11:30:00,256.5216
gradient_boosting,2026-01-11T12:00:00,266.9629
gradient_boosting,2026-01-11T12:30:00,269.6175
gradient_boosting,2026-01-11T13:00:00,266.9629
gradient_boosting,2026-01-11T13:30:00,266.9629
gradient_boosting,2026-01-11T14:00:00,266.9629
gradient_boosting,2026-01-11T14:30:00,257.4885
gradient_boosting,2026-01-11T15:00:00,276.5977
gradient_boosting,2026-01-11T15:30:00,249.5257
gradient_boosting,2026-01-11T16:00:00,250.1717
gradient_boosting,2026-01-11T16:30:00,233.9361
gradient_boosting,2026-01-11T17:00:00,237.0657
gradient_boosting,2026-01-11T17:30:00,236.8245
gradient_boosting,2026-01-11T18:00:00,234.7580
gradient_boosting,2026-01-11T18:30:00,218.7247
gradient_boosting,2026-01-11T19:00:00,218.7247
gradient_boosting,2026-01-11T19:30:00,213.7342
gradient_boosting,2026-01-11T20:00:00,215.2857
gradient_boosting,2026-01-11T20:30:00,218.7247
gradient_boosting,2026-01-11T21:00:00,222.1776
gradient_boosting,2026-01-11T21:30:00,213.7342
gradient_boosting,2026-01-11T22:00:00,222.1776
